imagens misturadas
[28.0, 41.0, 62.0, 82.0, 92.0, 85.0, 77.0, 70.0, 70.0, 74.0, 88.0, 95.0, 88.0, 85.0, 87.0, 85.0, 83.0, 84.0, 80.0, 74.0, 71.0, 73.0, 77.0, 78.0, 86.0, 81.0, 94.0, 106.0, 122.0, 160.0, 154.0, 87.0]
[75.0, 44.0, 31.0, 26.0, 24.0, 24.0, 23.0, 22.0, 22.0, 22.0, 22.0, 22.0, 23.0, 25.0, 24.0, 24.0, 24.0, 24.0, 24.0, 25.0, 27.0, 28.0, 27.0, 28.0, 30.0, 43.0, 39.0, 40.0, 66.0, 40.0, 44.0, 160.0]
[3.0, 154.0, 160.0, 114.0, 74.0, 64.0, 82.0, 59.0, 58.0, 43.0, 37.0, 27.0, 22.0, 16.0, 14.0, 15.0, 23.0, 60.0, 59.0, 14.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 13.0]
[1.0, 8.0, 20.0, 39.0, 66.0, 73.0, 71.0, 67.0, 74.0, 77.0, 74.0, 80.0, 82.0, 84.0, 89.0, 90.0, 86.0, 91.0, 101.0, 102.0, 96.0, 100.0, 108.0, 124.0, 134.0, 129.0, 141.0, 160.0, 137.0, 82.0, 29.0, 12.0]
[4.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 6.0, 8.0, 10.0, 13.0, 29.0, 42.0, 54.0, 56.0, 67.0, 64.0, 65.0, 71.0, 67.0, 160.0, 59.0, 87.0, 75.0, 53.0, 48.0, 41.0, 18.0, 9.0, 2.0, 1.0]
[39.0, 9.0, 6.0, 6.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 6.0, 7.0, 9.0, 11.0, 16.0, 20.0, 28.0, 28.0, 28.0, 93.0, 50.0, 40.0, 160.0]
[76.0, 37.0, 40.0, 51.0, 51.0, 42.0, 37.0, 38.0, 39.0, 36.0, 32.0, 27.0, 28.0, 32.0, 40.0, 44.0, 48.0, 49.0, 64.0, 57.0, 35.0, 31.0, 28.0, 23.0, 15.0, 11.0, 10.0, 8.0, 10.0, 12.0, 19.0, 160.0]
[1.0, 7.0, 24.0, 31.0, 17.0, 6.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 7.0, 8.0, 9.0, 160.0]
[3.0, 16.0, 19.0, 20.0, 21.0, 20.0, 19.0, 20.0, 21.0, 23.0, 26.0, 27.0, 30.0, 32.0, 26.0, 24.0, 24.0, 26.0, 28.0, 31.0, 35.0, 32.0, 27.0, 26.0, 27.0, 27.0, 28.0, 31.0, 30.0, 19.0, 27.0, 160.0]
[6.0, 35.0, 64.0, 68.0, 68.0, 57.0, 60.0, 64.0, 68.0, 68.0, 74.0, 72.0, 69.0, 71.0, 69.0, 68.0, 67.0, 66.0, 64.0, 62.0, 66.0, 64.0, 60.0, 50.0, 50.0, 54.0, 63.0, 74.0, 95.0, 160.0, 75.0, 54.0]

imagens festa

[2.0, 13.0, 22.0, 25.0, 55.0, 65.0, 72.0, 78.0, 77.0, 72.0, 67.0, 65.0, 61.0, 60.0, 77.0, 83.0, 75.0, 97.0, 99.0, 107.0, 106.0, 117.0, 129.0, 85.0, 72.0, 64.0, 67.0, 160.0, 113.0, 65.0, 44.0, 25.0]
[46.0, 6.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 8.0, 10.0, 10.0, 11.0, 11.0, 13.0, 12.0, 13.0, 15.0, 18.0, 24.0, 32.0, 44.0, 66.0, 85.0, 96.0, 117.0, 158.0, 160.0]
[24.0, 6.0, 6.0, 6.0, 6.0, 7.0, 8.0, 8.0, 8.0, 9.0, 10.0, 11.0, 13.0, 13.0, 14.0, 16.0, 19.0, 21.0, 23.0, 23.0, 24.0, 30.0, 32.0, 36.0, 39.0, 40.0, 40.0, 43.0, 46.0, 53.0, 61.0, 160.0]
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 6.0, 6.0, 6.0, 7.0, 8.0, 14.0, 14.0, 12.0, 11.0, 10.0, 9.0, 11.0, 10.0, 10.0, 12.0, 13.0, 15.0, 21.0, 33.0, 160.0]
[4.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 8.0, 9.0, 10.0, 14.0, 19.0, 28.0, 52.0, 160.0]
[44.0, 5.0, 7.0, 11.0, 18.0, 24.0, 23.0, 19.0, 17.0, 14.0, 13.0, 13.0, 13.0, 15.0, 15.0, 15.0, 14.0, 15.0, 16.0, 18.0, 22.0, 28.0, 31.0, 36.0, 43.0, 57.0, 70.0, 82.0, 122.0, 160.0, 129.0, 53.0]
[5.0, 10.0, 16.0, 17.0, 16.0, 14.0, 13.0, 12.0, 11.0, 10.0, 10.0, 12.0, 12.0, 11.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 10.0, 11.0, 12.0, 14.0, 17.0, 18.0, 17.0, 15.0, 16.0, 17.0, 21.0, 160.0]
