@relation party

@attribute bin1 numeric
@attribute bin2 numeric
@attribute bin3 numeric
@attribute bin4 numeric
@attribute bin5 numeric
@attribute bin6 numeric
@attribute bin7 numeric
@attribute bin8 numeric
@attribute bin9 numeric
@attribute bin10 numeric
@attribute bin11 numeric
@attribute bin12 numeric
@attribute bin13 numeric
@attribute bin14 numeric
@attribute bin15 numeric
@attribute bin16 numeric
@attribute bin17 numeric
@attribute bin18 numeric
@attribute bin19 numeric
@attribute bin20 numeric
@attribute bin21 numeric
@attribute bin22 numeric
@attribute bin23 numeric
@attribute bin24 numeric
@attribute bin25 numeric
@attribute bin26 numeric
@attribute bin27 numeric
@attribute bin28 numeric
@attribute bin29 numeric
@attribute bin30 numeric
@attribute bin31 numeric
@attribute bin32 numeric
@attribute isParty {YES, NO}

@data
11.0, 14.0, 19.0, 29.0, 45.0, 51.0, 46.0, 37.0, 33.0, 28.0, 25.0, 24.0, 27.0, 27.0, 28.0, 29.0, 29.0, 28.0, 27.0, 28.0, 28.0, 27.0, 26.0, 25.0, 23.0, 23.0, 25.0, 29.0, 34.0, 46.0, 63.0, 160.0, YES
160.0, 25.0, 21.0, 19.0, 19.0, 19.0, 18.0, 17.0, 16.0, 15.0, 14.0, 13.0, 13.0, 13.0, 13.0, 12.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 15.0, 16.0, 17.0, 20.0, 24.0, 27.0, 29.0, 29.0, 36.0, 108.0, YES
119.0, 124.0, 154.0, 160.0, 138.0, 138.0, 129.0, 121.0, 108.0, 94.0, 84.0, 73.0, 61.0, 50.0, 41.0, 35.0, 30.0, 26.0, 23.0, 21.0, 20.0, 18.0, 17.0, 15.0, 15.0, 14.0, 13.0, 12.0, 11.0, 11.0, 12.0, 29.0, NO
26.0, 39.0, 47.0, 66.0, 90.0, 104.0, 106.0, 81.0, 85.0, 72.0, 51.0, 45.0, 52.0, 70.0, 79.0, 85.0, 116.0, 152.0, 160.0, 103.0, 80.0, 76.0, 50.0, 46.0, 34.0, 34.0, 38.0, 39.0, 42.0, 47.0, 51.0, 87.0, NO
41.0, 59.0, 52.0, 55.0, 39.0, 30.0, 31.0, 27.0, 23.0, 21.0, 24.0, 28.0, 32.0, 33.0, 35.0, 42.0, 49.0, 52.0, 51.0, 53.0, 50.0, 45.0, 47.0, 56.0, 69.0, 84.0, 102.0, 92.0, 63.0, 51.0, 55.0, 160.0, NO
1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 16.0, 13.0, 8.0, 7.0, 11.0, 32.0, 49.0, 114.0, 160.0, 7.0, 4.0, 3.0, 3.0, 4.0, 5.0, 14.0, 33.0, 24.0, 4.0, 1.0, 1.0, 1.0, 1.0, NO
52.0, 44.0, 49.0, 51.0, 55.0, 55.0, 53.0, 54.0, 55.0, 60.0, 66.0, 75.0, 82.0, 94.0, 101.0, 103.0, 160.0, 143.0, 78.0, 74.0, 74.0, 72.0, 69.0, 67.0, 60.0, 56.0, 53.0, 51.0, 55.0, 89.0, 80.0, 73.0, NO
160.0, 102.0, 65.0, 40.0, 31.0, 27.0, 26.0, 24.0, 21.0, 21.0, 23.0, 26.0, 29.0, 38.0, 39.0, 48.0, 61.0, 65.0, 61.0, 57.0, 58.0, 60.0, 66.0, 85.0, 77.0, 85.0, 115.0, 51.0, 51.0, 54.0, 46.0, 11.0, NO
2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 5.0, 6.0, 8.0, 10.0, 11.0, 13.0, 16.0, 18.0, 19.0, 26.0, 27.0, 28.0, 30.0, 27.0, 28.0, 41.0, 49.0, 61.0, 88.0, 160.0, 105.0, 44.0, 44.0, 26.0, 7.0, 1.0, NO
117.0, 118.0, 110.0, 111.0, 78.0, 72.0, 69.0, 68.0, 69.0, 73.0, 80.0, 85.0, 84.0, 86.0, 83.0, 65.0, 51.0, 45.0, 38.0, 31.0, 27.0, 25.0, 29.0, 38.0, 36.0, 24.0, 19.0, 15.0, 13.0, 9.0, 13.0, 160.0, NO
1.0, 12.0, 60.0, 73.0, 68.0, 79.0, 105.0, 96.0, 50.0, 40.0, 38.0, 40.0, 37.0, 34.0, 30.0, 33.0, 36.0, 31.0, 29.0, 29.0, 45.0, 62.0, 62.0, 75.0, 94.0, 126.0, 160.0, 127.0, 103.0, 18.0, 10.0, 3.0, NO
2.0, 7.0, 16.0, 27.0, 36.0, 46.0, 48.0, 46.0, 32.0, 28.0, 28.0, 25.0, 24.0, 26.0, 21.0, 19.0, 17.0, 21.0, 27.0, 25.0, 34.0, 49.0, 61.0, 90.0, 102.0, 106.0, 136.0, 151.0, 160.0, 153.0, 109.0, 79.0, NO
15.0, 132.0, 160.0, 137.0, 82.0, 59.0, 48.0, 44.0, 39.0, 37.0, 37.0, 37.0, 38.0, 38.0, 40.0, 48.0, 51.0, 45.0, 46.0, 53.0, 59.0, 52.0, 35.0, 22.0, 17.0, 16.0, 17.0, 21.0, 26.0, 31.0, 42.0, 129.0, NO
2.0, 21.0, 120.0, 160.0, 88.0, 49.0, 41.0, 41.0, 40.0, 48.0, 51.0, 57.0, 65.0, 64.0, 65.0, 70.0, 86.0, 123.0, 120.0, 80.0, 59.0, 43.0, 51.0, 42.0, 32.0, 31.0, 20.0, 11.0, 8.0, 6.0, 7.0, 10.0, NO
5.0, 24.0, 33.0, 32.0, 30.0, 32.0, 36.0, 43.0, 51.0, 51.0, 47.0, 43.0, 45.0, 48.0, 50.0, 56.0, 56.0, 47.0, 40.0, 43.0, 45.0, 40.0, 33.0, 27.0, 21.0, 17.0, 13.0, 11.0, 10.0, 7.0, 7.0, 160.0, NO
2.0, 46.0, 155.0, 160.0, 131.0, 143.0, 152.0, 146.0, 136.0, 128.0, 120.0, 118.0, 106.0, 89.0, 69.0, 57.0, 50.0, 45.0, 40.0, 34.0, 31.0, 29.0, 25.0, 23.0, 20.0, 19.0, 16.0, 14.0, 13.0, 10.0, 9.0, 17.0, NO
160.0, 51.0, 63.0, 57.0, 57.0, 49.0, 31.0, 26.0, 23.0, 24.0, 29.0, 28.0, 24.0, 23.0, 20.0, 17.0, 16.0, 21.0, 26.0, 27.0, 15.0, 14.0, 15.0, 16.0, 17.0, 10.0, 10.0, 9.0, 5.0, 5.0, 10.0, 5.0, NO
49.0, 21.0, 40.0, 66.0, 62.0, 25.0, 20.0, 17.0, 44.0, 88.0, 110.0, 160.0, 102.0, 52.0, 34.0, 28.0, 26.0, 28.0, 44.0, 46.0, 33.0, 30.0, 18.0, 14.0, 11.0, 14.0, 17.0, 17.0, 26.0, 54.0, 51.0, 39.0, NO
19.0, 49.0, 60.0, 60.0, 58.0, 59.0, 59.0, 61.0, 65.0, 71.0, 76.0, 71.0, 63.0, 65.0, 59.0, 105.0, 98.0, 91.0, 68.0, 59.0, 59.0, 75.0, 118.0, 160.0, 135.0, 111.0, 83.0, 51.0, 41.0, 31.0, 19.0, 24.0, NO
1.0, 1.0, 4.0, 13.0, 22.0, 43.0, 105.0, 154.0, 160.0, 56.0, 62.0, 72.0, 74.0, 63.0, 48.0, 35.0, 29.0, 25.0, 21.0, 18.0, 16.0, 14.0, 13.0, 12.0, 11.0, 10.0, 9.0, 8.0, 8.0, 8.0, 8.0, 26.0, NO
22.0, 50.0, 49.0, 42.0, 53.0, 56.0, 72.0, 113.0, 160.0, 156.0, 99.0, 47.0, 25.0, 17.0, 15.0, 13.0, 13.0, 14.0, 13.0, 12.0, 12.0, 11.0, 10.0, 11.0, 11.0, 10.0, 40.0, 107.0, 11.0, 7.0, 7.0, 22.0, NO
156.0, 40.0, 96.0, 137.0, 160.0, 132.0, 98.0, 70.0, 49.0, 39.0, 33.0, 27.0, 23.0, 21.0, 19.0, 17.0, 16.0, 16.0, 20.0, 29.0, 39.0, 45.0, 52.0, 27.0, 11.0, 12.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, NO
