160.0, 79.0, 65.0, 56.0, 46.0, 42.0, 38.0, 36.0, 35.0, 35.0, 36.0, 35.0, 34.0, 33.0, 32.0, 33.0, 32.0, 33.0, 32.0, 31.0, 29.0, 28.0, 27.0, 26.0, 25.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 23.0, 23.0, 23.0, 24.0, 24.0, 26.0, 28.0, 29.0, 30.0, 32.0, 34.0, 37.0, 39.0, 42.0, 43.0, 44.0, 43.0, 43.0, 41.0, 40.0, 38.0, 36.0, 33.0, 31.0, 26.0, 21.0, 14.0, 9.0, 5.0, 5.0
118.0, 110.0, 116.0, 124.0, 140.0, 157.0, 160.0, 149.0, 135.0, 132.0, 134.0, 132.0, 125.0, 122.0, 119.0, 114.0, 109.0, 99.0, 93.0, 88.0, 83.0, 80.0, 75.0, 66.0, 61.0, 56.0, 50.0, 46.0, 41.0, 37.0, 35.0, 32.0, 30.0, 27.0, 26.0, 25.0, 23.0, 22.0, 21.0, 20.0, 19.0, 18.0, 17.0, 17.0, 16.0, 16.0, 15.0, 15.0, 14.0, 14.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 11.0, 12.0, 13.0, 44.0
13.0, 17.0, 23.0, 28.0, 31.0, 36.0, 38.0, 39.0, 40.0, 41.0, 46.0, 44.0, 46.0, 47.0, 48.0, 50.0, 50.0, 56.0, 59.0, 64.0, 68.0, 72.0, 80.0, 77.0, 79.0, 80.0, 83.0, 98.0, 113.0, 124.0, 137.0, 156.0, 160.0, 152.0, 141.0, 139.0, 138.0, 141.0, 134.0, 114.0, 95.0, 81.0, 67.0, 54.0, 36.0, 24.0, 18.0, 13.0, 10.0, 8.0, 7.0, 7.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 7.0, 7.0, 8.0, 26.0, 158.0, 35.0
19.0, 31.0, 36.0, 40.0, 43.0, 49.0, 59.0, 68.0, 83.0, 92.0, 95.0, 106.0, 108.0, 98.0, 84.0, 73.0, 78.0, 88.0, 80.0, 60.0, 53.0, 46.0, 43.0, 44.0, 46.0, 54.0, 64.0, 72.0, 76.0, 77.0, 74.0, 91.0, 103.0, 122.0, 134.0, 160.0, 160.0, 152.0, 114.0, 87.0, 79.0, 76.0, 79.0, 69.0, 51.0, 46.0, 48.0, 42.0, 33.0, 32.0, 31.0, 34.0, 35.0, 39.0, 39.0, 38.0, 39.0, 42.0, 44.0, 48.0, 51.0, 49.0, 37.0, 133.0
160.0, 41.0, 46.0, 49.0, 52.0, 56.0, 56.0, 52.0, 48.0, 44.0, 41.0, 38.0, 34.0, 32.0, 30.0, 29.0, 27.0, 27.0, 26.0, 27.0, 25.0, 23.0, 22.0, 21.0, 20.0, 20.0, 20.0, 19.0, 18.0, 18.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.0, 14.0, 14.0, 14.0, 13.0, 13.0, 12.0, 12.0, 11.0, 11.0, 10.0, 10.0, 9.0, 8.0, 7.0, 6.0, 6.0, 5.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 2.0
22.0, 34.0, 46.0, 35.0, 36.0, 36.0, 38.0, 38.0, 31.0, 24.0, 21.0, 21.0, 21.0, 22.0, 20.0, 18.0, 17.0, 16.0, 15.0, 14.0, 17.0, 16.0, 18.0, 21.0, 22.0, 22.0, 22.0, 23.0, 25.0, 24.0, 28.0, 31.0, 33.0, 35.0, 36.0, 36.0, 35.0, 35.0, 36.0, 38.0, 35.0, 35.0, 32.0, 30.0, 32.0, 33.0, 37.0, 41.0, 47.0, 49.0, 52.0, 64.0, 72.0, 70.0, 66.0, 62.0, 48.0, 40.0, 35.0, 36.0, 35.0, 41.0, 61.0, 160.0
6.0, 3.0, 3.0, 3.0, 4.0, 5.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 6.0, 6.0, 7.0, 8.0, 9.0, 10.0, 12.0, 14.0, 15.0, 16.0, 19.0, 19.0, 18.0, 18.0, 16.0, 16.0, 15.0, 16.0, 17.0, 18.0, 20.0, 23.0, 29.0, 37.0, 51.0, 160.0, 132.0, 105.0, 72.0, 58.0, 41.0, 29.0, 22.0, 17.0, 13.0, 10.0, 9.0, 8.0, 6.0, 6.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 10.0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 6.0, 6.0, 8.0, 10.0, 14.0, 17.0, 16.0, 10.0, 8.0, 7.0, 7.0, 6.0, 7.0, 15.0, 26.0, 39.0, 49.0, 48.0, 91.0, 136.0, 160.0, 160.0, 10.0, 4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 6.0, 10.0, 17.0, 29.0, 37.0, 32.0, 16.0, 5.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
6.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 16.0, 19.0, 28.0, 32.0, 35.0, 44.0, 50.0, 64.0, 56.0, 56.0, 61.0, 67.0, 72.0, 87.0, 108.0, 100.0, 105.0, 101.0, 95.0, 86.0, 92.0, 81.0, 95.0, 101.0, 108.0, 116.0, 136.0, 149.0, 160.0, 159.0, 160.0, 142.0, 99.0, 57.0, 29.0, 13.0, 8.0, 6.0, 6.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 2.0, 2.0
51.0, 29.0, 32.0, 35.0, 37.0, 39.0, 39.0, 39.0, 43.0, 42.0, 43.0, 41.0, 41.0, 41.0, 41.0, 41.0, 42.0, 43.0, 45.0, 48.0, 49.0, 53.0, 56.0, 59.0, 61.0, 64.0, 70.0, 75.0, 78.0, 77.0, 77.0, 81.0, 86.0, 160.0, 153.0, 67.0, 62.0, 57.0, 57.0, 57.0, 56.0, 57.0, 56.0, 54.0, 54.0, 52.0, 52.0, 51.0, 47.0, 45.0, 44.0, 43.0, 42.0, 40.0, 40.0, 39.0, 39.0, 46.0, 57.0, 79.0, 72.0, 52.0, 38.0, 75.0
