160.0, 123.0, 125.0, 70.0, 151.0, 109.0, 112.0, 43.0, 
160.0, 120.0, 127.0, 69.0, 152.0, 108.0, 117.0, 46.0, 
160.0, 128.0, 131.0, 88.0, 136.0, 94.0, 99.0, 16.0, 
160.0, 125.0, 129.0, 80.0, 142.0, 100.0, 105.0, 29.0, 
160.0, 132.0, 128.0, 89.0, 138.0, 103.0, 97.0, 33.0, 
160.0, 130.0, 128.0, 87.0, 136.0, 99.0, 96.0, 18.0, 
160.0, 126.0, 129.0, 82.0, 145.0, 106.0, 109.0, 45.0, 
160.0, 151.0, 130.0, 118.0, 121.0, 108.0, 76.0, 52.0, 
160.0, 167.0, 132.0, 140.0, 112.0, 122.0, 65.0, 80.0, 
160.0, 140.0, 127.0, 100.0, 128.0, 101.0, 83.0, 27.0, 
160.0, 147.0, 125.0, 108.0, 128.0, 111.0, 80.0, 47.0, 
160.0, 169.0, 136.0, 146.0, 113.0, 124.0, 73.0, 90.0, 
160.0, 133.0, 133.0, 98.0, 133.0, 98.0, 98.0, 38.0, 
161.0, 159.0, 137.0, 136.0, 110.0, 108.0, 72.0, 68.0, 
160.0, 137.0, 138.0, 110.0, 144.0, 117.0, 119.0, 84.0, 
160.0, 151.0, 123.0, 110.0, 139.0, 128.0, 94.0, 76.0, 
160.0, 167.0, 116.0, 124.0, 129.0, 136.0, 65.0, 79.0, 
160.0, 144.0, 123.0, 101.0, 134.0, 113.0, 85.0, 47.0, 
160.0, 134.0, 133.0, 99.0, 137.0, 106.0, 103.0, 55.0, 
160.0, 140.0, 129.0, 103.0, 132.0, 106.0, 90.0, 46.0, 
160.0, 133.0, 129.0, 92.0, 133.0, 98.0, 92.0, 21.0, 
160.0, 146.0, 133.0, 115.0, 139.0, 122.0, 106.0, 82.0, 
160.0, 148.0, 128.0, 111.0, 123.0, 106.0, 75.0, 42.0, 
160.0, 127.0, 126.0, 78.0, 150.0, 113.0, 112.0, 53.0, 
160.0, 126.0, 127.0, 79.0, 148.0, 109.0, 111.0, 48.0, 
160.0, 124.0, 132.0, 83.0, 145.0, 102.0, 112.0, 45.0, 
160.0, 126.0, 129.0, 83.0, 141.0, 101.0, 105.0, 33.0, 
160.0, 126.0, 127.0, 78.0, 142.0, 102.0, 102.0, 23.0, 
160.0, 126.0, 120.0, 67.0, 162.0, 128.0, 122.0, 71.0, 
160.0, 127.0, 130.0, 86.0, 137.0, 97.0, 100.0, 20.0, 
160.0, 122.0, 127.0, 73.0, 155.0, 114.0, 120.0, 58.0, 
160.0, 119.0, 132.0, 75.0, 158.0, 115.0, 129.0, 69.0, 
